"coreid","goodQualityAccessURI","scientificName","caption","comments","tag"
5643213,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_34_Canoparmelia_texana_1720297869.jpg","Canoparmelia texana","Specimen","","DryImage,HasOrganism"
5643213,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_34_Canoparmelia_texana_2_1720297899.jpg","Canoparmelia texana","Thallus","","Diagnostic,DissectingMicroscopeImage,DryImage,HasOrganism,WithVegetativePropagules"
5381965,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/4511_Rinodina_fimbriata_sectio_1720370599.jpg","Rinodina fimbriata","Apothecial section in water.","","CompoundMicroscopeImage,HasOrganism"
5376196,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/4490_Rinodina_fimbriata_sectio_1720372181.jpg","Rinodina fimbriata","Apothecial section in water.","","CompoundMicroscopeImage,HasOrganism"
5369452,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/4481b_Rinodina_oxydata_ascomat_1720373270.jpg","Rinodina oxydata","Apothecia with carbonized margins","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5376335,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/4494_Rinodina_fimbriata_sectio_1720375069.jpg","Rinodina fimbriata","Apothecial section in water.","","CompoundMicroscopeImage,HasOrganism"
5410275,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/3069b_Rinodina_fimbriata_thall_1720376311.jpg","Rinodina fimbriata","Thallus with apothecia","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5410275,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/3069b_Rinodina_fimbriata_secti_1720376352.jpg","Rinodina fimbriata","Apothecial section in K","","CompoundMicroscopeImage,HasOrganism"
5381805,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/4504_Rinodina_oxydata_section_1720383569.jpg","Rinodina oxydata","Apothecial section in water.","","CompoundMicroscopeImage,HasOrganism"
5643706,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_35_Physcia_americana_1720982558.jpg","Physcia americana","Thallus","","DissectingMicroscopeImage,DryImage,HasOrganism,WithVegetativePropagules"
5643706,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_35_Physcia_americana_unde_1720982604.jpg","Physcia americana","Thallus lobe underside","","Diagnostic,DissectingMicroscopeImage,HasOrganism"
5643707,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_36_Hyperphyscia_americana_1720983719.jpg","Hyperphyscia syncolla","Thallus","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5643708,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_37_Hypotrachyna_livida_1720984426.jpg","Hypotrachyna livida","Thallus","","Diagnostic,DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5643709,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_38_Opegrapha_vulgata_1720986459.jpg","Opegrapha vulgata","Thallus","","DissectingMicroscopeImage,DryImage,HasOrganism"
5643709,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_38_Opegrapha_vulgata_2_1720986503.jpg","Opegrapha vulgata","Lirellae","","Diagnostic,DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5643709,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_38_Opegrapha_vulgata_sect_1720986540.jpg","Opegrapha vulgata","Lirella section in water","","CompoundMicroscopeImage,HasOrganism"
5643710,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_39_Leiorreuma_explicans_1720988463.jpg","Leiorreuma explicans","Thallus","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5643710,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_39_Leiorreuma_explicans_l_1720988515.jpg","Leiorreuma explicans","Lirellae","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5643710,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_39_Leiorreuma_explicans_s_1720988560.jpg","Leiorreuma explicans","Lirella section in water","","CompoundMicroscopeImage,Diagnostic,HasOrganism"
5643710,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_39_Leiorreuma_explicans_s_1720988597.jpg","Leiorreuma explicans","Lirella section in K","","CompoundMicroscopeImage,Diagnostic,HasOrganism"
5643710,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_39_Leiorreuma_explicans_s_1720988790.jpg","Leiorreuma explicans","Spores","","CompoundMicroscopeImage,Diagnostic,HasOrganism"
5643711,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_40_Phaeographis_inusta_1720990976.jpg","Phaeographis inusta","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5643711,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_40_Phaeographis_inusta_li_1720991022.jpg","Phaeographis inusta","Thallus","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5643711,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_40_Phaeographis_inusta_li_1720991145.jpg","Phaeographis inusta","Lirella section in K","","CompoundMicroscopeImage,HasOrganism"
