id,scientific_name,image_url,latitude,longitude,county
3098401,Usnea strigosa,https://inaturalist-open-data.s3.amazonaws.com/photos/3576501/medium.jpg,30.17743056,-97.72383056,Travis
3098406,Teloschistes chrysophthalmus,https://inaturalist-open-data.s3.amazonaws.com/photos/3576508/medium.JPG,30.177775,-97.72356389,Travis
3098701,Psora pseudorussellii,https://inaturalist-open-data.s3.amazonaws.com/photos/3577816/medium.JPG,30.33884722,-97.88503333,Travis
3869072,Psora crenata,https://static.inaturalist.org/photos/4535899/medium.jpeg,30.30848365,-97.82183111,Travis
3900834,Flavoparmelia caperata,https://static.inaturalist.org/photos/4583864/medium.jpeg,30.30984922,-97.82248557,Travis
4004637,Teloschistes exilis,https://static.inaturalist.org/photos/4729741/medium.jpeg,30.30829699,-97.82289058,Travis
4129251,Teloschistes chrysophthalmus,https://inaturalist-open-data.s3.amazonaws.com/photos/4912825/medium.jpeg,30.16527748,-97.84583282,Travis
4452718,Teloschistes exilis,https://static.inaturalist.org/photos/5364513/medium.jpeg,30.19239885,-97.71756895,Travis
4487238,Psora crenata,https://inaturalist-open-data.s3.amazonaws.com/photos/5418974/medium.jpg,30.446372,-97.847506,Travis
4499164,Teloschistes chrysophthalmus,https://inaturalist-open-data.s3.amazonaws.com/photos/5437946/medium.jpg,30.16222222,-97.84388889,Travis
4499166,Ramalina celastri,https://inaturalist-open-data.s3.amazonaws.com/photos/5437961/medium.jpg,30.16222222,-97.84388889,Travis
4791050,Teloschistes chrysophthalmus,https://inaturalist-open-data.s3.amazonaws.com/photos/5839177/medium.jpg,30.1617,-97.80619167,Travis
4791068,Ramalina celastri,https://inaturalist-open-data.s3.amazonaws.com/photos/5839192/medium.jpg,30.1608695,-97.80621333,Travis
4990462,Usnea trichodea,https://inaturalist-open-data.s3.amazonaws.com/photos/6097989/medium.jpg,30.29764018,-97.90047515,Travis
4992600,Teloschistes chrysophthalmus,https://inaturalist-open-data.s3.amazonaws.com/photos/6100852/medium.jpg,30.19636167,-97.61186167,Travis
4992605,Teloschistes exilis,https://inaturalist-open-data.s3.amazonaws.com/photos/6100858/medium.jpg,30.19721211,-97.6112563,Travis
4996829,Robergea albicedrae,https://inaturalist-open-data.s3.amazonaws.com/photos/6107105/medium.jpg,30.296047,-97.90087,Travis
4999238,Robergea albicedrae,https://inaturalist-open-data.s3.amazonaws.com/photos/6110577/medium.jpg,30.295075,-97.90798056,Travis
4999243,Usnea trichodea,https://inaturalist-open-data.s3.amazonaws.com/photos/6110593/medium.jpg,30.29741761,-97.89984852,Travis
5001394,Usnea trichodea,https://inaturalist-open-data.s3.amazonaws.com/photos/6113898/medium.jpg,30.297644,-97.900517,Travis
5001525,Ramalina peruviana,https://inaturalist-open-data.s3.amazonaws.com/photos/6114109/medium.jpg,30.297644,-97.900514,Travis
5004330,Usnea cirrosa,https://inaturalist-open-data.s3.amazonaws.com/photos/6117918/medium.jpg,30.295875,-97.899503,Travis
5006325,Teloschistes exilis,https://inaturalist-open-data.s3.amazonaws.com/photos/6120991/medium.jpg,30.1895294,-97.6106304,Travis
5055290,Teloschistes exilis,https://inaturalist-open-data.s3.amazonaws.com/photos/6197873/medium.jpg,30.20197342,-97.91298275,Travis
5055739,Ramalina celastri,https://inaturalist-open-data.s3.amazonaws.com/photos/6199081/medium.jpg,30.20669056,-97.90774942,Travis
5067329,Parmotrema submarginale,https://inaturalist-open-data.s3.amazonaws.com/photos/6217509/medium.jpeg,30.1803582,-97.7217397,Travis
5076254,Ramalina complanata,https://inaturalist-open-data.s3.amazonaws.com/photos/6231692/medium.jpg,30.1803582,-97.7217397,Travis
5131437,Teloschistes exilis,https://inaturalist-open-data.s3.amazonaws.com/photos/6314981/medium.jpeg,30.1803582,-97.7217397,Travis
5132166,Xanthoria parietina,https://inaturalist-open-data.s3.amazonaws.com/photos/6316479/medium.jpeg,30.1803582,-97.7217397,Travis
5136336,Teloschistes exilis,https://static.inaturalist.org/photos/6322946/medium.jpg,30.16626667,-97.84982167,Travis
5146529,Ramalina celastri,https://inaturalist-open-data.s3.amazonaws.com/photos/6338588/medium.jpg,30.1803582,-97.7217397,Travis
5214276,Teloschistes exilis,https://inaturalist-open-data.s3.amazonaws.com/photos/6439991/medium.jpg,30.45203587,-97.90466309,Travis
5228899,Robergea albicedrae,https://inaturalist-open-data.s3.amazonaws.com/photos/6463050/medium.jpg,30.41797222,-97.75853611,Travis
5255140,Robergea albicedrae,https://inaturalist-open-data.s3.amazonaws.com/photos/6502903/medium.jpg,30.37939722,-97.77939722,Travis
5406807,Psora pseudorussellii,https://inaturalist-open-data.s3.amazonaws.com/photos/6644516/medium.jpg,30.48437,-97.87808333,Travis
5460739,Teloschistes exilis,https://inaturalist-open-data.s3.amazonaws.com/photos/6722464/medium.jpg,30.16022406,-97.808084,Travis
5460740,Ramalina americana,https://inaturalist-open-data.s3.amazonaws.com/photos/6722466/medium.jpg,30.16022325,-97.80808569,Travis
5549262,Robergea albicedrae,https://inaturalist-open-data.s3.amazonaws.com/photos/6851386/medium.jpg,30.47756111,-97.86556111,Travis
5697646,Protoparmeliopsis muralis,https://inaturalist-open-data.s3.amazonaws.com/photos/7057708/medium.jpeg,30.2875601,-97.7399303,Travis
5739339,Teloschistes exilis,https://inaturalist-open-data.s3.amazonaws.com/photos/7119692/medium.jpg,30.39816572,-97.68390387,Travis
5745710,Teloschistes exilis,https://inaturalist-open-data.s3.amazonaws.com/photos/7129871/medium.jpeg,30.39533716,-97.68178828,Travis
5759717,Teloschistes exilis,https://static.inaturalist.org/photos/7149553/medium.jpg,30.1618055,-97.836905,Travis
5824534,Teloschistes chrysophthalmus,https://inaturalist-open-data.s3.amazonaws.com/photos/7244263/medium.jpg,30.16194444,-97.84416667,Travis
5832667,Parmotrema austrosinense,https://inaturalist-open-data.s3.amazonaws.com/photos/7255958/medium.jpg,30.50587833,-98.0251695,Travis
